graph,coef,lb95,ub95,ene,avg,iden1,iden2,iden3,order
lasso inflow alcohol,8.98000000000e-06,-.0614671,.0614851,83452,.7758597,covid_1_pc,alcohol,m4,1
lasso inflow businesses,-.0357883,-.1429774,.0714009,83452,.7758597,covid_1_pc,businesses,m4,2
lasso inflow checkpoints,.0610626,-.0515405,.1736657,83452,.7758597,covid_1_pc,checkpoints,m4,3
lasso inflow curfew,.0724216,.0242417,.1206014,83452,.7758597,covid_1_pc,curfew,m4,4
lasso inflow events,-.0358681,-.1589028,.0871667,83452,.7758597,covid_1_pc,events,m4,5
lasso inflow fines,.0008296,-.0532848,.054944,83452,.7758597,covid_1_pc,fines,m4,6
lasso inflow masks,-.0039681,-.1511031,.1431669,83452,.7758597,covid_1_pc,masks,m4,7
lasso inflow mobility,.0856142,-.0358897,.207118,83452,.7758597,covid_1_pc,mobility,m4,8
lasso inflow public places,.0112842,-.0648639,.0874323,83452,.7758597,covid_1_pc,public places,m4,9
lasso local alcohol,.075458,-.0384921,.1894081,83452,.7758597,covid_1_pc,alcohol,m4,1
lasso local businesses,.0527607,-.089636,.1951574,83452,.7758597,covid_1_pc,businesses,m4,2
lasso local checkpoints,-.0637704,-.1500544,.0225136,83452,.7758597,covid_1_pc,checkpoints,m4,3
lasso local curfew,-.068421,-.174461,.0376189,83452,.7758597,covid_1_pc,curfew,m4,4
lasso local events,1.212578,-1.132289,3.557444,83452,.7758597,covid_1_pc,events,m4,5
lasso local fines,.0301578,-.0437443,.1040599,83452,.7758597,covid_1_pc,fines,m4,6
lasso local masks,.0800871,-.010879,.1710532,83452,.7758597,covid_1_pc,masks,m4,7
lasso local mobility,-.0578873,-.1348624,.0190879,83452,.7758597,covid_1_pc,mobility,m4,8
lasso local public places,-.1148691,-.2632662,.0335281,83452,.7758597,covid_1_pc,public places,m4,9
lasso inflow alcohol,.0183069,-.0036151,.040229,83452,.083758,deaths_pc,alcohol,m4,1
lasso inflow businesses,-.0159443,-.0504539,.0185652,83452,.083758,deaths_pc,businesses,m4,2
lasso inflow checkpoints,.0189204,-.0024932,.040334,83452,.083758,deaths_pc,checkpoints,m4,3
lasso inflow curfew,-.0009797,-.0086566,.0066972,83452,.083758,deaths_pc,curfew,m4,4
lasso inflow events,-.02795,-.072537,.0166371,83452,.083758,deaths_pc,events,m4,5
